分会场B-主会场-主会场-主会场-休闲区-展厅-分会场A-room1-餐厅-通道-10000,10000
分会场D-分会场D-通道-海报区-厕所1-签到处-休闲区-通道-扶梯-通道-10001,10001
分会场C-分会场B-休闲区-主会场-主会场-主会场-分会场A-主会场-主会场-主会场-10002,10002
主会场-主会场-主会场-休闲区-主会场-分会场C-主会场-主会场-分会场A-休闲区-10003,10003
分会场C-休闲区-分会场B-主会场-主会场-休闲区-主会场-主会场-主会场-餐厅-10004,10004
餐厅-签到处-通道-通道-通道-扶梯-扶梯-通道-入口-通道-10005,10005
主会场-展厅-主会场-主会场-餐厅-主会场-分会场C-分会场A-主会场-room1-10012,10012
分会场D-主会场-主会场-主会场-主会场-休闲区-分会场D-主会场-分会场A-主会场-10014,10014
分会场B-分会场D-主会场-主会场-主会场-主会场-休闲区-分会场D-分会场C-主会场-10015,10015
分会场B-主会场-休闲区-主会场-主会场-主会场-主会场-休闲区-通道-room1-10018,10018
餐厅-room2-room2-主会场-主会场-分会场A-分会场A-room2-分会场A-分会场A-10019,10019
主会场-主会场-主会场-主会场-展厅-休闲区-主会场-主会场-room3-展厅-10021,10021
主会场-主会场-分会场C-主会场-主会场-展厅-分会场C-休闲区-休闲区-展厅-10022,10022
分会场C-展厅-分会场C-通道-休闲区-room1-签到处-厕所1-签到处-通道-10023,10023
主会场-主会场-主会场-主会场-主会场-主会场-主会场-分会场A-主会场-展厅-10026,10026
分会场D-主会场-主会场-主会场-主会场-休闲区-主会场-分会场A-休闲区-主会场-10027,10027
分会场D-分会场B-room1-通道-通道-通道-通道-签到处-签到处-厕所3-10032,10032
分会场C-通道-通道-签到处-厕所1-通道-通道-海报区-海报区-签到处-10033,10033
room5-room5-room5-room5-room5-通道-餐厅-餐厅-通道-room1-10037,10037
room5-room5-room5-room5-room5-通道-餐厅-餐厅-room1-room1-10041,10041
海报区-签到处-通道-通道-通道-厕所1-签到处-通道-入口-通道-10043,10043
主会场-休闲区-主会场-主会场-主会场-分会场C-主会场-主会场-分会场A-展厅-10045,10045
room5-room5-room5-room5-room5-餐厅-餐厅-room1-通道-通道-10046,10046
主会场-分会场B-主会场-主会场-休闲区-分会场C-主会场-展厅-海报区-展厅-10049,10049
通道-海报区-签到处-通道-厕所1-通道-海报区-签到处-通道-通道-10050,10050
分会场D-主会场-主会场-主会场-休闲区-主会场-主会场-主会场-分会场A-分会场D-10051,10051
分会场C-主会场-主会场-主会场-主会场-休闲区-休闲区-主会场-分会场A-展厅-10053,10053
分会场B-主会场-主会场-休闲区-主会场-主会场-休闲区-主会场-主会场-主会场-10056,10056
